The Copper Onion,https://www.yelp.com//biz/the-copper-onion-salt-lake-city-3,4.0,2128,Moderate,['American (New)'],(801) 355-3282,111 E Broadway,Downtown
Purgatory,https://www.yelp.com//biz/purgatory-salt-lake-city,4.5,498,Moderate,"['Bars', 'American (Traditional)', 'Asian Fusion']",(801) 596-2294,62 E 700th S,Downtown
Pretty Bird,https://www.yelp.com//biz/pretty-bird-salt-lake-city,4.5,498,Moderate,"['Southern', 'Chicken Shop']",(801) 999-9999,146 Regent St,Downtown
Red Iguana,https://www.yelp.com//biz/red-iguana-salt-lake-city,4.5,3132,Moderate,['Mexican'],(801) 322-1489,736 W N Temple,Fairpark
Nomad Eatery,https://www.yelp.com//biz/nomad-eatery-salt-lake-city-2,5.0,172,Moderate,['American (New)'],(801) 938-9629,2110 W North Temple,Jordan Meadows
R&R BBQ,https://www.yelp.com//biz/r-and-r-bbq-salt-lake-city,4.5,1095,Moderate,['Barbeque'],(801) 364-0443,307 W 600th S,Granary District
Zest Kitchen & Bar,https://www.yelp.com//biz/zest-kitchen-and-bar-salt-lake-city,4.5,614,Moderate,"['Gluten-Free', 'Vegan', 'Cocktail Bars']",(801) 433-0589,275 S 200th W,Downtown
The Eklektik,https://www.yelp.com//biz/the-eklektik-salt-lake-city,4.5,250,Moderate,"['Latin American', 'Mediterranean', 'Mexican']",(385) 528-3675,60 E 800th S,Downtown
Chile-Tepin,https://www.yelp.com//biz/chile-tepin-salt-lake-city,4.5,596,Moderate,['Mexican'],(801) 883-9255,307 W 200th S,Downtown
HSL,https://www.yelp.com//biz/hsl-salt-lake-city,4.5,353,High,['American (New)'],(801) 539-9999,418 E 200th S,Central City
Whiskey Street,https://www.yelp.com//biz/whiskey-street-salt-lake-city,4.0,906,Moderate,"['Lounges', 'Cocktail Bars', 'Gastropubs']",(801) 433-1371,323 S Main St,Downtown
Takashi,https://www.yelp.com//biz/takashi-salt-lake-city,4.5,1252,High,"['Sushi Bars', 'Japanese']",(801) 519-9595,18 W Market St,Downtown
White Horse,https://www.yelp.com//biz/white-horse-salt-lake-city,4.5,203,Moderate,"['Cocktail Bars', 'American (Traditional)']",(801) 363-0137,325 S Main St,Downtown
Tosh’s Ramen,https://www.yelp.com//biz/toshs-ramen-salt-lake-city-2,4.0,526,Low,['Ramen'],(801) 466-7000,1465 S State St,Liberty Wells
The Bayou,https://www.yelp.com//biz/the-bayou-salt-lake-city,4.0,752,Moderate,"['Bars', 'Cajun/Creole', 'American (Traditional)']",(801) 961-8400,645 S State St,Downtown
Afghan Kitchen,https://www.yelp.com//biz/afghan-kitchen-salt-lake-city,5.0,301,Moderate,['Afghan'],(385) 229-4155,3142 Main St,City of South Salt Lake
Eva,https://www.yelp.com//biz/eva-salt-lake-city,4.0,629,Moderate,"['Tapas/Small Plates', 'Desserts']",(801) 359-8447,317 S Main St,Downtown
All Chay,https://www.yelp.com//biz/all-chay-salt-lake-city,4.5,293,Low,"['Vietnamese', 'Vegan', 'Vegetarian']",(801) 521-4789,1264 W 500th N,Fairpark
Chedda Burger,https://www.yelp.com//biz/chedda-burger-salt-lake-city-3,4.5,453,Moderate,['Burgers'],(801) 906-8779,26 E 600th S,Downtown
Chungas,https://www.yelp.com//biz/chungas-salt-lake-city,4.5,475,Low,['Mexican'],(801) 953-1840,180 S 900th W,Poplar Grove
Bombay House,https://www.yelp.com//biz/bombay-house-salt-lake-city,4.5,755,Moderate,['Indian'],(801) 581-0222,2731 E Parleys Way,Sugar House
Red Rock Brewing,https://www.yelp.com//biz/red-rock-brewing-salt-lake-city,3.5,798,Moderate,"['Breweries', 'American (Traditional)']",(801) 521-7446,254 S 200th W,Downtown
Lucky 13,https://www.yelp.com//biz/lucky-13-salt-lake-city,4.0,1427,Moderate,"['Burgers', 'Bars', 'American (New)']",(801) 487-4418,135 W 1300th S,Peoples Freeway
Kiraaak,https://www.yelp.com//biz/kiraaak-salt-lake-city,4.0,135,Moderate,['Indian'],(801) 675-4512,214 W 600th S,Downtown
Boltcutter,https://www.yelp.com//biz/boltcutter-salt-lake-city-2,4.5,171,Moderate,"['Vegan', 'Vegetarian']", ,57 E Gallivan Ave,Downtown
Hook & Ladder Co Fire Station No 13,https://www.yelp.com//biz/hook-and-ladder-co-fire-station-no-13-salt-lake-city,4.5,79,Low,['Burgers'],(801) 972-2336,1313 California Ave,Glendale
Pig & a Jelly Jar,https://www.yelp.com//biz/pig-and-a-jelly-jar-salt-lake-city,4.0,1458,Moderate,"['Breakfast & Brunch', 'Comfort Food', 'American (New)']",(385) 202-7366,401 E 900 S,Central City
The Robin’s Nest,https://www.yelp.com//biz/the-robins-nest-salt-lake-city,4.5,397,Low,"['Sandwiches', 'Salad', 'Soup']",(801) 466-6378,311 S Main St,Downtown
Bruges Waffles & Frites,https://www.yelp.com//biz/bruges-waffles-and-frites-salt-lake-city,4.5,716,Low,"['Belgian', 'Waffles', 'Food Trucks']",(801) 363-4444,336 W 300th S,Downtown
Caffé Molise,https://www.yelp.com//biz/caff%C3%A9-molise-salt-lake-city-2,4.0,483,Moderate,"['Italian', 'Wine Bars', 'Cocktail Bars']",(801) 364-8833,404 S West Temple,Downtown
Sweet Lake Biscuits & Limeade,https://www.yelp.com/biz/sweet-lake-biscuits-and-limeade-salt-lake-city,4.5,807,Moderate,"['Breakfast & Brunch', 'Sandwiches', 'Salad']",(801) 953-1978,54 W 1700 S,Ballpark
Campos Coffee Roastery & Kitchen,https://www.yelp.com/biz/campos-coffee-roastery-and-kitchen-salt-lake-city,4.5,124,Moderate,"['Coffee & Tea', 'Cafes']",(801) 953-1512,228 Edison St,Downtown
Pallet,https://www.yelp.com/biz/pallet-salt-lake-city,4.5,416,High,['American (New)'],(801) 935-4431,237 S 400th W,Downtown
Valter’s Osteria,https://www.yelp.com/biz/valters-osteria-salt-lake-city,4.5,519,High,['Italian'],(801) 521-4563,173 W Broadway,Downtown
The Park Café,https://www.yelp.com/biz/the-park-caf%C3%A9-salt-lake-city-2,4.5,1168,Low,"['Breakfast & Brunch', 'American (Traditional)', 'Coffee & Tea']",(801) 487-1670,604 E 1300 S,Liberty Wells
International Pantry,https://www.yelp.com/biz/international-pantry-salt-lake-city,4.5,20,Low,"['American (Traditional)', 'Greek', 'Salad']",(801) 359-8297,5500 Amelia Earhart Dr,Jordan Meadows
Laziz Kitchen,https://www.yelp.com/biz/laziz-kitchen-salt-lake-city,4.5,189,Moderate,"['Lebanese', 'Mediterranean']",(801) 441-1228,912 Jefferson St W,Peoples Freeway
Harbor Seafood & Steak Company,https://www.yelp.com/biz/harbor-seafood-and-steak-company-salt-lake-city,4.5,336,High,"['Steakhouses', 'Seafood']",(801) 466-9827,2302 Parley's Way,Sugar House
Spitz SLC,https://www.yelp.com/biz/spitz-slc-salt-lake-city,4,734,Moderate,"['Mediterranean', 'Sandwiches']",(801) 364-0286,35 E Broadway,Downtown
Current Fish & Oyster,https://www.yelp.com/biz/current-fish-and-oyster-salt-lake-city,4,419,Moderate,['Seafood'],(801) 326-3474,279 E 300th S,Central City
Freshies Lobster Salt Lake City,https://www.yelp.com/biz/freshies-lobster-salt-lake-city-salt-lake-city-2,4.5,38, ,['Seafood'],(801) 829-1032,356 E 900th S,
Alamexo,https://www.yelp.com/biz/alamexo-salt-lake-city,4,308,Moderate,['Mexican'],(801) 779-4747,268 S State St,Downtown
Oh Mai Sandwich Kitchen South Salt Lake,https://www.yelp.com/biz/oh-mai-sandwich-kitchen-south-salt-lake-salt-lake-city,4.5,804,Low,"['Vietnamese', 'Sandwiches']",(801) 467-6882,3425 S State St,City of South Salt Lake
